,cities,longitude,latitude,main_daily_weather,day_temp,wind_speed
0,Mont Saint Michel,-1.511459954959514,48.6359541,Rain,9,5.2
1,St Malo,-2.0260409,48.649518,Rain,8,6.2
2,Bayeux,-0.7024738,49.2764624,Rain,8,6.1
3,Le Havre,0.1079732,49.4938975,Rain,8,6.9
4,Rouen,1.0939658,49.4404591,Clouds,9,5.6
5,Paris,2.3200410217200766,48.8588897,Clouds,9,4.1
6,Amiens,2.2956951,49.8941708,Clouds,9,6.2
7,Lille,3.0635282,50.6365654,Clouds,9,6.4
8,Strasbourg,7.7507127,48.584614,Clouds,8,4.0
9,Chateau du Haut Koenigsbourg,7.34429620253195,48.249489800000006,Clouds,6,2.8
10,Colmar,7.3579641,48.0777517,Clouds,9,2.7
11,Eguisheim,7.3079618,48.0447968,Clouds,9,2.5
12,Besancon,6.0243622,47.2380222,Clouds,8,3.4
13,Dijon,5.0414701,47.3215806,Clouds,8,4.3
14,Annecy,6.1288847,45.8992348,Clouds,8,1.6
15,Grenoble,5.7357819,45.1875602,Clouds,9,2.3
16,Lyon,4.8320114,45.7578137,Clouds,9,3.3
17,Gorges du Verdon,6.3285616,43.7496562,Clouds,8,3.4
18,Bormes les Mimosas,6.3419285,43.1506968,Clouds,12,6.1
19,Cassis,5.5396318,43.2140359,Clear,11,7.2
20,Marseille,5.3699525,43.2961743,Clear,11,7.3
21,Aix en Provence,5.4474738,43.5298424,Clear,10,5.2
22,Avignon,4.8059012,43.9492493,Clouds,11,7.0
23,Uzes,4.4196718,44.0121279,Clouds,11,5.5
24,Nimes,4.3600687,43.8374249,Clear,12,5.1
25,Aigues Mortes,4.1912837,43.5658225,Clouds,12,5.9
26,Saintes Maries de la mer,4.4287172,43.4522771,Clouds,12,7.4
27,Collioure,3.0831554,42.52505,Clouds,13,6.7
28,Carcassonne,2.3491069,43.2130358,Clouds,11,6.2
29,Ariege,1.4065544156065486,42.9455368,Snow,5,2.7
30,Toulouse,1.4442469,43.6044622,Rain,11,5.1
31,Montauban,1.3549991,44.0175835,Clear,10,5.0
32,Biarritz,-1.552726590666314,43.471143749999996,Rain,11,4.7
33,Bayonne,-1.4736657,43.4945144,Rain,11,4.2
34,La Rochelle,-1.1520434,46.1591126,Clouds,9,5.5
